track_name,artists,album_name,image_url
Perfect Duet (Ed Sheeran & Beyoncé),"Ed Sheeran, Beyonce",Perfect Duet (Ed Sheeran & Beyoncé),https://i.scdn.co/image/ab67616d0000b273af6b2fca3b6e24612a5fe5d8
Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2
Someone Like You,Adele,21,https://i.scdn.co/image/ab67616d0000b273ba764098164f221484bcc309
Take Me Home,Jess Glynne,I Cry When I Laugh,https://i.scdn.co/image/ab67616d0000b273b905ed1edb5a88c573c023b0
The Writer,Ellie Goulding,Lights,https://i.scdn.co/image/ab67616d0000b2735608e05b66d69c857f6d4bd2
Dancing On My Own,Calum Scott,Dancing On My Own,https://i.scdn.co/image/ab67616d0000b273a7b8246574be5cf6d4020812
Yours,Ella Henderson,Chapter One (Deluxe Version),https://i.scdn.co/image/ab67616d0000b2732d8f69516a51d1b98cce0f07
Clown,Emeli Sande,Our Version Of Events (Special Edition),https://i.scdn.co/image/ab67616d0000b273623108b3d24c016e5a14374b
Say Something,"A Great Big World, Christina Aguilera",Is There Anybody Out There?,https://i.scdn.co/image/ab67616d0000b273554488d0c51967b1654d8ce5
A Thousand Years,Christina Perri,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),https://i.scdn.co/image/4aaa9fae84be9e79c1a58845784441d65327bcba
Beneath Your Beautiful,"Labrinth, Emeli Sande",Our Version Of Events (Special Edition),https://i.scdn.co/image/ab67616d0000b2733be7dceb90a7534388064608
Skyscraper,Demi Lovato,Demi,https://i.scdn.co/image/ab67616d0000b2733acee1b4687f712ca89e7f99
Secret Love Song (feat. Jason Derulo),"Little Mix, Jason Derulo",Get Weird (Deluxe),https://i.scdn.co/image/ab67616d0000b2734e977ec3406c06c9401642d5
Love Yourself,Justin Bieber,Purpose (Deluxe),https://i.scdn.co/image/ab67616d0000b273b6d9a4fbb0bd49f0f034aead
Say You Won't Let Go,James Arthur,Back from the Edge,https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab
The Man Who Can't Be Moved,The Script,The Script,https://i.scdn.co/image/ab67616d0000b273dde86e2f18dc87260491d0d1
Hello,Adele,25,https://i.scdn.co/image/ab67616d0000b2735ffbbc3dca25d5c81491af1f
"Flashlight - From ""Pitch Perfect 2"" Soundtrack",Jessie J,Pitch Perfect 2 (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b273f61d92172fdf96b42da99092
Treat You Better,Shawn Mendes,Treat You Better,https://i.scdn.co/image/ab67616d0000b273c946f9b548aa85850fbac635
Shout Out to My Ex,Little Mix,Shout Out to My Ex,https://i.scdn.co/image/ab67616d0000b2737a99ea3b762da45f4a737cc8
Rise Up,Andra Day,Cheers to the Fall,https://i.scdn.co/image/ab67616d0000b273ccd9af18cc83991382c9ab9a
i'm so tired...,"Lauv, Troye Sivan",~how i'm feeling~,https://i.scdn.co/image/ab67616d0000b2738c6baef6af72030dd5f62456
Best Friend,Rex Orange County,Best Friend,https://i.scdn.co/image/ab67616d0000b27333a6b45fa8354efe37633964
Loving Is Easy (feat. Benny Sings),"Rex Orange County, Benny Sings",Loving Is Easy (feat. Benny Sings),https://i.scdn.co/image/ab67616d0000b2730165d0189ec5f74ca96c3137
You Need To Calm Down,Taylor Swift,Lover,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",Lover,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Hollywood's Bleeding,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02
Love The Way You Lie,"Eminem, Rihanna",Recovery,https://i.scdn.co/image/ab67616d0000b273c08d5fa5c0f1a834acef5100
We Are Young (feat. Janelle Monáe),"fun., Janelle Monee",Some Nights,https://i.scdn.co/image/ab67616d0000b273a036e1724bc7f2bab15cfda8
Señorita,"Shawn Mendes, Camila Cabello",Shawn Mendes (Deluxe),https://i.scdn.co/image/ab67616d0000b273c820f033bd82bef4355d1563
Thinking out Loud,Ed Sheeran,x (Wembley Edition),https://i.scdn.co/image/ab67616d0000b273d08209944468440145f01524
See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth",See You Again (feat. Charlie Puth),https://i.scdn.co/image/ab67616d0000b2734e5df11b17b2727da2b718d8
Despacito,"Luis Fonsi, Daddy Yankee",VIDA,https://i.scdn.co/image/ab67616d0000b273ef0d4234e1a645740f77d59c
Cheap Thrills,Sia,This Is Acting,https://i.scdn.co/image/ab67616d0000b27349e0134c686547c28b7c999f
Something Just Like This,"The Chainsmokers, Coldplay",Memories...Do Not Open,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94
Let Her Go,Passenger,All The Little Lights,https://i.scdn.co/image/ab67616d0000b2734566e671e5c947cba3a38436
Chandelier,Sia,1000 Forms Of Fear,https://i.scdn.co/image/ab67616d0000b2735d199c9f6e6562aafa5aa357
TiK ToK,Kesha,Animal (Expanded Edition),https://i.scdn.co/image/ab67616d0000b2737a6339d6ddfd579f77559b3c
Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Wanz",Thrift Shop (feat. Wanz),https://i.scdn.co/image/ab67616d0000b2731cdc7eab166fcbfcaf8be8f6
Pumped Up Kicks,Foster The People,2010s Hits,https://i.scdn.co/image/ab67616d0000b27311c825e925a00bff7a18da09
Sucker,Jonas Brothers,Sucker,https://i.scdn.co/image/ab67616d0000b273c85bf1709e11b6a288925b26
Heart Attack,Demi Lovato,Demi,https://i.scdn.co/image/ab67616d0000b273aadb13ae608f6af20528409b
Better Now,Post Malone,beerbongs & bentleys,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268
Roar,Katy Perry,PRISM (Deluxe),https://i.scdn.co/image/ab67616d0000b27347f930accd8ac01686401fa2
no tears left to cry,Ariana Grande,Sweetener,https://i.scdn.co/image/ab67616d0000b273c3af0c2355c24ed7023cd394
One Last Time,Ariana Grande,My Everything (Deluxe),https://i.scdn.co/image/ab67616d0000b273deec12a28d1e336c5052e9aa
Be Alright,Dean Lewis,Be Alright,https://i.scdn.co/image/ab67616d0000b27313480e8127119dcb882eb53d
Shotgun,George Ezra,Staying at Tamara's,https://i.scdn.co/image/ab67616d0000b273103045cd1c29dd16a469f808
She Looks So Perfect,5 Seconds of Summer,5 Seconds Of Summer,https://i.scdn.co/image/ab67616d0000b2737dc82fe4b20e636156c68c1b
Like I'm Gonna Lose You (feat. John Legend),"Meghan Trainor, John Legend",Title (Deluxe),https://i.scdn.co/image/ab67616d0000b2733b11178cccd78ec77fc12dbc
Rather Be (feat. Jess Glynne),"Clean Bandit, Jess Glynne",Rather Be (feat. Jess Glynne),https://i.scdn.co/image/ab67616d0000b2737e519297d9876b6afff2ab7b
Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b
Love On Top,Beyonce,4,https://i.scdn.co/image/ab67616d0000b273ff5429125128b43572dbdccd
Issues,Julia Michaels,Nervous System,https://i.scdn.co/image/ab67616d0000b27384766d3571bd55cca492e460
Skinny Genes,Eliza Doolittle,Eliza Doolittle,https://i.scdn.co/image/ab67616d0000b273ff1a664430abeace7be7f4af
Hate You,Kate Nash,Yesterday Was Forever,https://i.scdn.co/image/ab67616d0000b2736352f2ad850e106ac10262e2
Call Me Maybe,Carly Rae Jepsen,Kiss,https://i.scdn.co/image/ab67616d0000b273d3ee4bf67c2ac2154006ad72
What Makes You Beautiful,One Direction,Up All Night,https://i.scdn.co/image/ab67616d0000b2734a5584795dc73860653a9a3e
Wrecking Ball,Miley Cyrus,Bangerz (Deluxe Version),https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c
Royals,Lorde,Pure Heroine,https://i.scdn.co/image/ab67616d0000b273187331e276c898d39764cc98
All of Me,John Legend,Love In The Future (Expanded Edition),https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78
Because of You,Kelly Clarkson,Breakaway,https://i.scdn.co/image/ab67616d0000b273158c72ad0003cb37ca0c9eff
Make You Feel My Love,Adele,19,https://i.scdn.co/image/ab67616d0000b2730a5d334a63fd4455ce83b38b
I Won't Give Up,Jason Mraz,Love Is a Four Letter Word (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b27346e379c721504777a62bd9b8
Jealous,Labrinth,Jealous,https://i.scdn.co/image/ab67616d0000b273d6903dd74546f02f4a54edbc
